bauer_gender,competitive_1,competitive_2,competitive_3,condition,cooperative,courageous,deontic_1,deontic_2,deontic_3,empathetic,fair,forgiving,giving,grateful,helpful,honest,humble,individualistic_1,individualistic_2,individualistic_3,just,kind,loyal,model,persona_age,persona_gender,persona_is_student,principled,prosocial_1,prosocial_2,prosocial_3,responsible,schmitt_gender,trustworthy
male,1,1,1,no_wb,4,3,6,6,6,4,6,3,4,3,5,6,4,2,2,2,6,4,4,deepseek-chat,32,female,True,6,5,5,5,5,male,5
female,1,1,1,no_wb,4,2,5,5,5,4,4,3,3,3,4,4,3,3,3,3,4,4,4,deepseek-chat,32,female,False,4,4,4,4,4,female,4
male,2,2,2,no_wb,4,3,5,5,5,4,4,4,4,4,4,4,4,3,3,3,4,4,4,deepseek-chat,36,male,False,4,2,2,2,4,male,4
female,1,1,1,no_wb,5,3,4,4,5,4,4,3,4,3,5,4,4,3,3,2,4,5,5,deepseek-chat,43,female,False,4,5,5,4,4,female,4
male,2,2,2,no_wb,4,3,5,5,5,4,5,3,4,3,4,5,3,3,3,3,5,4,4,deepseek-chat,43,female,False,5,4,4,4,5,female,5
female,1,2,2,no_wb,4,3,4,4,4,4,4,3,3,4,4,4,4,2,3,2,4,4,4,deepseek-chat,42,female,False,4,3,3,3,4,male,4
female,1,1,1,no_wb,4,4,5,5,5,4,5,3,3,3,4,5,3,2,2,2,5,4,4,deepseek-chat,37,male,True,5,4,4,4,5,male,5
male,1,1,1,no_wb,4,4,6,6,6,4,5,3,4,4,5,6,4,2,2,2,6,4,3,deepseek-chat,59,female,False,6,5,5,5,6,male,6
female,2,3,3,no_wb,4,2,4,4,4,3,3,3,3,3,3,3,3,3,4,3,3,3,4,deepseek-chat,36,female,False,3,2,2,2,3,female,3
male,1,1,1,no_wb,3,3,5,5,5,3,4,3,3,3,3,4,3,3,4,3,4,3,2,deepseek-chat,45,female,True,4,2,2,2,5,male,4
male,1,1,1,no_wb,4,3,6,6,6,4,6,2,3,3,4,6,4,3,4,2,6,4,5,deepseek-chat,41,female,False,6,5,5,5,6,male,5
male,1,1,1,no_wb,3,1,1,1,1,3,2,3,3,3,3,2,3,5,5,5,2,3,5,deepseek-chat,37,female,True,2,2,2,2,2,male,2
male,1,1,1,no_wb,3,2,4,4,4,3,3,4,3,3,3,3,4,3,3,3,3,3,4,deepseek-chat,25,male,False,3,2,2,2,3,female,3
female,1,1,1,no_wb,4,3,5,5,5,4,5,3,4,3,4,5,4,2,2,2,5,4,3,deepseek-chat,57,female,False,5,4,4,4,5,female,5
female,1,2,2,no_wb,4,3,4,4,4,4,3,4,3,3,4,3,4,3,3,3,3,4,4,deepseek-chat,22,female,False,3,3,3,3,3,male,4
male,1,1,1,no_wb,3,2,6,6,6,3,2,2,3,3,3,2,3,2,2,2,2,3,3,deepseek-chat,51,female,True,2,5,5,5,2,female,2
female,2,3,3,no_wb,3,3,2,2,2,3,2,4,3,3,3,2,3,4,4,4,2,3,3,deepseek-chat,30,female,True,2,2,2,2,2,male,2
female,2,2,2,no_wb,4,2,4,4,4,4,3,3,3,3,3,3,3,4,4,4,3,4,4,deepseek-chat,26,male,False,3,3,3,3,3,female,3
male,2,2,2,no_wb,5,3,4,4,4,4,4,4,3,3,4,4,3,2,3,2,4,4,5,deepseek-chat,27,female,True,4,3,3,3,4,male,4
male,1,1,1,no_wb,3,2,5,5,6,3,4,3,3,3,3,3,3,2,3,2,4,3,3,deepseek-chat,47,female,False,4,4,4,4,4,female,3
male,1,1,2,no_wb,4,2,3,3,3,4,3,4,3,4,4,3,4,4,4,4,3,4,4,deepseek-chat,34,female,False,3,3,3,3,3,female,3
female,1,1,1,no_wb,4,4,5,5,5,4,5,3,4,3,5,5,4,3,3,3,5,4,4,deepseek-chat,39,female,False,5,4,4,4,5,female,5
female,3,4,4,no_wb,3,2,1,1,1,3,2,3,3,3,3,2,3,3,3,3,2,3,4,deepseek-chat,19,female,False,2,2,2,2,2,female,2
male,2,1,2,no_wb,4,3,5,5,5,4,5,3,4,3,4,4,3,3,3,3,5,4,4,deepseek-chat,18,female,False,5,4,4,4,5,female,5
female,1,1,1,no_wb,4,3,5,5,5,4,5,3,4,3,4,5,4,2,2,2,5,4,4,deepseek-chat,18,female,False,5,4,4,4,5,female,5
male,3,3,4,no_wb,3,3,5,5,5,3,3,3,3,3,3,3,3,4,4,4,3,3,3,deepseek-chat,42,female,True,3,2,2,2,3,male,3
male,1,1,2,no_wb,4,3,5,5,5,4,3,4,4,4,4,3,4,3,3,3,3,4,4,deepseek-chat,44,female,True,3,4,4,4,3,female,3
male,2,1,2,no_wb,3,2,4,5,5,3,4,3,3,3,3,3,3,3,3,3,4,3,3,deepseek-chat,18,female,False,4,3,3,3,3,female,3
female,1,1,1,no_wb,4,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,3,3,4,deepseek-chat,24,female,True,3,2,2,2,3,female,3
male,1,1,2,no_wb,4,2,4,4,4,3,3,3,3,3,3,3,3,3,4,3,3,3,4,deepseek-chat,36,female,False,3,3,3,3,3,male,3
female,2,2,2,no_wb,4,2,3,3,3,4,3,4,3,4,4,3,4,4,4,4,3,4,5,deepseek-chat,20,female,False,3,2,2,2,3,female,3
male,1,1,1,no_wb,4,3,5,5,5,4,5,3,3,3,4,5,4,3,3,3,5,4,4,deepseek-chat,20,female,False,5,4,4,4,5,female,5
male,1,1,1,no_wb,4,2,4,4,4,4,3,4,3,3,3,3,4,1,1,1,3,4,4,deepseek-chat,56,female,False,3,3,3,3,3,female,3
female,1,2,2,no_wb,3,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,3,3,4,deepseek-chat,18,male,False,3,2,2,2,3,female,3
male,2,2,2,no_wb,4,3,5,5,5,4,5,3,3,3,4,5,4,3,3,3,4,4,4,deepseek-chat,29,female,False,5,4,4,4,5,male,5
male,1,1,1,no_wb,4,4,5,5,5,4,5,3,4,3,4,5,4,2,3,2,5,4,4,deepseek-chat,38,female,False,5,4,4,4,5,female,5
male,1,1,1,no_wb,3,2,2,2,2,3,2,3,3,3,3,2,3,4,5,4,2,3,4,deepseek-chat,21,female,False,2,2,2,2,2,male,2
male,1,1,1,no_wb,4,3,5,5,5,4,4,4,4,4,4,4,4,2,2,2,4,4,3,deepseek-chat,22,male,False,4,5,5,5,4,male,4
female,1,1,1,no_wb,4,2,4,4,4,3,3,3,3,3,3,3,3,2,2,2,3,3,4,deepseek-chat,41,female,False,3,3,3,3,2,female,3
male,1,2,2,no_wb,4,2,3,3,3,3,3,4,3,3,3,3,4,4,4,4,3,4,4,deepseek-chat,29,female,True,3,2,2,2,3,female,3
female,1,1,1,no_wb,4,3,3,3,3,4,3,4,3,3,4,3,4,4,4,4,3,4,4,deepseek-chat,18,female,False,3,2,2,2,3,male,3
male,2,2,2,no_wb,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,deepseek-chat,23,female,True,4,3,3,3,4,male,4
female,1,1,1,no_wb,4,2,5,5,5,4,3,3,4,4,4,3,4,2,2,2,3,4,4,deepseek-chat,18,female,False,3,4,4,4,3,male,3
male,2,2,2,no_wb,3,3,4,4,4,3,4,3,3,3,3,3,3,3,3,3,4,3,3,deepseek-chat,38,female,False,4,4,4,4,3,female,3
female,2,2,2,no_wb,4,3,4,4,4,4,5,3,4,4,4,5,4,3,3,3,5,4,4,deepseek-chat,20,female,True,5,4,4,4,5,female,5
female,1,1,2,no_wb,4,2,2,2,2,3,3,4,4,4,4,3,4,4,5,4,3,4,5,deepseek-chat,23,female,False,3,2,2,2,3,male,3
male,1,1,1,no_wb,4,2,2,2,2,2,3,3,2,3,2,3,3,3,4,4,3,2,4,deepseek-chat,31,female,True,3,2,2,2,3,female,3
female,3,3,4,no_wb,3,2,2,2,2,3,2,3,3,3,3,2,3,5,5,5,2,3,4,deepseek-chat,41,female,False,2,2,2,2,2,female,2
male,1,1,1,no_wb,4,2,5,5,5,4,3,3,4,4,4,3,4,2,3,2,3,4,5,deepseek-chat,38,female,False,3,4,4,4,3,male,3
female,1,1,2,no_wb,3,1,2,2,2,3,2,3,3,3,3,2,4,4,5,4,2,3,2,deepseek-chat,40,male,True,2,3,3,3,2,male,2
female,1,1,1,no_wb,4,3,5,5,5,4,5,3,4,4,4,5,4,2,3,2,5,4,4,deepseek-chat,18,female,False,5,4,4,4,5,male,5
male,2,2,2,no_wb,4,3,5,5,5,4,5,3,4,4,4,4,4,3,3,3,5,4,3,deepseek-chat,54,female,False,5,4,4,4,5,female,4
female,1,1,1,no_wb,4,3,5,5,5,4,4,3,3,3,4,4,3,2,3,2,4,4,3,deepseek-chat,38,female,False,4,3,3,3,4,male,4
male,1,1,2,no_wb,4,3,5,5,5,4,5,3,4,4,4,5,4,3,3,3,5,4,4,deepseek-chat,40,male,True,5,4,4,4,5,female,5
female,1,1,1,no_wb,4,2,5,5,5,3,3,4,3,3,3,3,4,2,2,2,3,3,4,deepseek-chat,37,female,True,3,3,3,3,3,male,3
male,1,2,2,no_wb,4,3,5,5,5,4,5,3,4,4,4,5,4,4,4,4,5,4,4,deepseek-chat,71,female,False,5,3,3,3,4,female,4
male,1,1,1,no_wb,4,2,5,5,5,4,4,3,3,3,4,3,3,2,2,2,4,4,4,deepseek-chat,23,female,False,4,4,4,4,3,female,3
female,1,2,2,no_wb,4,2,4,4,4,4,2,4,3,3,3,2,3,5,5,5,2,4,4,deepseek-chat,42,female,True,2,3,3,3,2,male,2
female,1,1,1,no_wb,4,3,5,5,5,4,5,4,4,4,4,5,4,2,2,2,5,4,4,deepseek-chat,40,female,False,5,4,4,4,5,male,5
male,1,1,1,no_wb,4,3,6,6,6,4,5,3,4,3,5,5,4,2,2,2,5,4,4,deepseek-chat,18,male,True,6,5,5,5,5,female,5
female,1,1,1,no_wb,3,1,3,3,3,3,3,3,3,3,3,2,4,5,5,5,2,3,4,deepseek-chat,32,female,False,2,2,2,2,2,female,2
male,1,1,2,no_wb,4,3,5,5,5,4,5,3,3,3,4,5,4,2,2,2,5,4,3,deepseek-chat,20,female,True,5,3,3,3,5,male,5
female,1,1,1,no_wb,4,2,2,2,2,3,2,3,3,3,3,2,3,5,5,5,2,3,4,deepseek-chat,49,female,False,2,2,2,2,2,male,2
female,3,3,3,no_wb,3,2,2,2,2,3,2,3,3,3,3,2,3,5,5,5,2,3,3,deepseek-chat,50,female,False,2,2,2,2,2,male,2
male,1,1,1,no_wb,4,2,2,3,3,3,3,3,3,3,3,2,3,3,4,3,3,3,4,deepseek-chat,31,female,False,3,2,2,2,2,female,3
male,1,1,1,no_wb,5,2,6,6,6,4,3,4,4,4,4,3,4,2,2,2,3,4,5,deepseek-chat,27,male,False,3,3,3,3,3,male,3
male,1,1,1,no_wb,4,3,3,3,3,4,4,3,4,4,4,4,4,2,2,2,4,4,4,deepseek-chat,48,female,False,4,4,4,4,4,female,4
female,3,4,4,no_wb,2,2,2,2,2,3,2,3,3,3,3,2,3,5,5,5,2,3,2,deepseek-chat,21,female,True,2,2,2,2,2,female,2
female,1,1,1,no_wb,4,3,5,5,4,4,4,3,3,3,4,4,3,2,2,2,4,4,4,deepseek-chat,49,male,False,5,4,4,3,4,male,4
male,2,1,2,no_wb,4,4,5,5,5,4,5,3,3,3,4,5,4,3,3,3,5,4,3,deepseek-chat,32,male,False,5,4,4,4,5,male,5
female,2,1,2,no_wb,4,4,4,5,5,4,5,3,3,3,4,5,4,3,3,3,5,4,3,deepseek-chat,36,female,False,5,3,4,4,4,female,4
male,1,1,1,no_wb,4,1,2,2,2,3,2,4,3,3,3,2,3,4,4,4,2,3,4,deepseek-chat,18,female,False,2,3,3,3,2,male,2
female,1,1,1,no_wb,3,3,5,4,5,4,4,2,3,3,4,5,3,2,2,2,5,4,3,deepseek-chat,40,male,True,5,3,3,3,5,male,5
female,1,2,3,no_wb,4,2,2,2,2,4,3,4,4,4,4,3,4,4,4,4,3,4,4,deepseek-chat,30,female,False,3,2,2,2,3,male,3
female,2,1,1,no_wb,4,3,5,5,5,4,5,3,4,3,4,4,4,3,3,3,5,4,4,deepseek-chat,33,female,False,5,4,4,4,5,female,4
male,1,1,1,no_wb,4,3,5,5,5,4,5,3,3,4,4,5,4,2,2,2,5,4,3,deepseek-chat,45,female,False,5,4,4,4,5,female,5
female,1,1,1,no_wb,4,2,2,2,2,4,3,4,3,4,4,3,4,2,3,2,3,4,4,deepseek-chat,30,female,False,3,3,3,3,3,male,3
female,1,1,1,no_wb,4,3,4,4,4,4,3,4,4,4,4,3,4,2,2,2,3,4,4,deepseek-chat,35,female,False,3,3,3,3,3,male,3
male,1,1,1,no_wb,4,2,5,5,5,4,3,3,4,4,4,3,4,2,2,2,3,4,3,deepseek-chat,48,female,False,3,5,5,5,3,male,3
female,1,1,1,no_wb,4,3,5,5,5,4,5,3,3,4,4,5,4,3,3,3,5,4,4,deepseek-chat,40,female,False,5,2,2,2,5,male,5
female,2,2,3,no_wb,3,2,2,2,2,3,2,3,3,3,3,2,3,4,5,4,2,3,4,deepseek-chat,48,female,True,2,2,2,2,2,male,2
male,1,1,1,no_wb,4,1,2,2,2,2,2,4,2,3,2,2,3,3,4,3,2,3,4,deepseek-chat,31,male,True,2,1,1,1,2,female,2
female,1,1,1,no_wb,3,2,4,5,5,3,4,3,3,3,3,4,3,2,2,2,4,3,4,deepseek-chat,34,female,False,4,3,3,3,4,female,4
male,1,1,1,no_wb,4,4,5,5,5,4,5,3,3,3,4,5,3,2,3,2,5,4,4,deepseek-chat,32,female,False,5,4,4,4,5,male,5
female,4,3,4,no_wb,3,2,2,2,2,3,3,4,2,3,2,3,3,5,5,5,3,3,4,deepseek-chat,46,female,False,3,2,2,2,3,female,3
male,1,1,1,no_wb,3,4,5,5,5,4,5,3,3,3,4,5,4,2,2,2,5,4,4,deepseek-chat,27,female,False,5,5,5,5,5,male,4
female,1,1,1,no_wb,4,2,4,4,4,4,3,3,4,4,4,3,4,4,4,4,3,4,4,deepseek-chat,19,male,False,3,3,3,3,3,male,3
female,2,1,2,no_wb,4,2,3,3,3,3,3,3,3,3,3,3,3,5,5,4,3,3,4,deepseek-chat,47,male,False,3,2,2,2,3,male,3
male,1,1,1,no_wb,3,2,2,2,2,3,2,3,3,3,3,2,3,4,4,4,2,3,4,deepseek-chat,46,female,False,2,2,2,2,2,female,2
male,1,1,1,no_wb,4,3,6,6,6,4,5,3,3,3,4,5,4,2,2,2,5,4,4,deepseek-chat,42,male,False,5,5,5,5,4,female,5
female,2,1,2,no_wb,4,4,5,5,5,4,5,3,4,4,4,5,4,3,4,3,5,4,3,deepseek-chat,32,male,False,5,4,4,4,5,female,5
female,1,1,1,no_wb,4,2,5,5,5,4,4,4,3,3,4,3,4,2,3,2,4,4,4,deepseek-chat,18,female,False,4,4,4,4,3,male,3
female,1,1,1,no_wb,4,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,4,deepseek-chat,23,female,False,3,2,2,2,3,male,3
female,1,1,2,no_wb,3,3,4,4,4,4,4,3,3,3,3,4,4,2,2,2,4,4,4,deepseek-chat,38,female,False,4,3,3,3,4,male,4
male,1,1,1,no_wb,3,2,5,5,5,3,4,2,3,3,4,3,3,2,2,2,4,3,3,deepseek-chat,20,female,False,4,4,4,4,4,male,3
male,1,1,1,no_wb,3,3,3,3,3,4,4,2,3,3,4,4,3,2,2,2,4,3,3,deepseek-chat,46,female,True,4,4,4,4,4,male,4
female,1,1,1,no_wb,4,2,4,4,4,4,4,3,3,3,3,4,3,2,2,2,4,3,3,deepseek-chat,53,female,True,4,3,3,3,4,female,4
female,1,1,1,no_wb,4,2,5,5,5,4,3,4,3,3,4,3,3,2,2,2,3,4,4,deepseek-chat,18,female,False,3,4,4,4,3,male,3
female,1,1,1,no_wb,4,3,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,3,deepseek-chat,18,female,False,4,3,3,3,4,female,4
female,1,1,1,no_wb,4,2,3,3,3,4,3,3,4,4,4,3,4,3,4,3,3,4,4,deepseek-chat,30,female,False,3,4,4,4,3,male,3
male,1,1,2,no_wb,3,2,5,5,4,4,3,3,3,3,3,3,3,3,3,2,3,4,3,deepseek-chat,21,female,False,3,2,3,3,3,male,3
female,2,2,2,no_wb,4,2,2,2,2,4,2,4,3,4,3,2,4,4,4,4,2,4,4,deepseek-chat,28,female,False,2,2,2,2,2,male,2
male,1,1,1,no_wb,4,2,2,2,2,4,2,3,3,3,4,2,3,5,5,5,2,4,4,deepseek-chat,27,female,False,2,3,3,3,2,male,2
male,1,1,1,no_wb,4,3,5,5,5,4,5,3,3,3,4,5,4,2,2,2,5,4,4,deepseek-chat,41,female,False,5,4,4,4,5,female,5
male,1,1,1,no_wb,4,3,5,5,4,4,5,3,4,4,4,4,4,2,3,2,5,4,4,deepseek-chat,22,female,False,5,2,2,2,4,male,4
female,1,1,1,no_wb,4,3,5,5,5,4,4,3,3,3,4,4,3,2,2,2,4,4,4,deepseek-chat,47,female,False,4,4,4,4,4,male,4
male,1,1,1,no_wb,4,2,2,2,2,3,3,3,3,3,3,3,3,5,5,4,3,3,4,deepseek-chat,37,male,True,3,2,2,2,3,male,3
male,1,1,1,no_wb,3,2,4,4,4,3,4,3,3,3,3,4,3,2,3,2,4,3,3,deepseek-chat,39,female,False,4,3,3,3,4,male,4
female,1,1,1,no_wb,4,3,5,5,5,4,5,3,4,3,4,5,4,2,2,2,5,4,3,deepseek-chat,38,female,True,5,4,4,4,5,female,5
female,2,2,3,no_wb,4,2,3,3,3,4,3,4,3,3,3,3,4,4,4,4,3,4,4,deepseek-chat,32,male,True,3,2,2,2,3,female,3
female,2,2,2,no_wb,4,2,4,4,4,3,3,4,3,3,4,3,4,3,3,3,3,4,3,deepseek-chat,18,female,True,3,3,3,3,3,female,3
male,1,1,1,no_wb,3,4,4,5,5,3,5,2,3,3,3,5,4,2,3,2,5,3,3,deepseek-chat,46,male,True,5,3,3,3,5,female,4
female,1,1,1,no_wb,4,2,5,5,5,4,3,3,4,3,4,3,4,2,2,2,3,4,4,deepseek-chat,53,female,True,3,4,4,4,3,female,3
female,1,1,1,no_wb,3,2,3,4,3,3,2,3,3,3,3,2,3,5,5,5,2,3,4,deepseek-chat,41,female,True,2,2,2,2,2,female,2
female,1,1,1,no_wb,4,2,3,3,3,3,2,3,3,3,3,2,3,4,4,4,2,3,3,deepseek-chat,25,female,True,2,2,2,2,2,male,2
male,1,1,1,no_wb,4,3,4,4,5,4,5,3,3,3,4,4,3,2,2,2,5,4,3,deepseek-chat,46,female,False,5,3,3,3,5,female,4
male,1,1,2,no_wb,4,2,3,3,3,4,3,4,3,4,3,3,4,5,5,5,3,4,4,deepseek-chat,28,male,False,3,2,3,2,3,male,3
male,2,2,2,no_wb,4,1,5,5,5,3,2,4,3,4,3,2,4,4,4,4,3,4,5,deepseek-chat,18,female,False,2,2,2,2,2,female,2
male,3,4,4,no_wb,3,2,2,2,2,3,2,3,3,3,3,2,3,5,5,5,2,3,4,deepseek-chat,38,female,False,2,2,2,2,2,male,2
female,1,1,1,no_wb,4,3,5,5,5,4,4,3,4,3,4,4,3,2,2,2,5,4,4,deepseek-chat,51,female,False,5,4,4,4,4,male,4
male,1,1,1,no_wb,4,3,5,5,5,4,5,3,3,3,4,5,4,2,2,2,5,4,3,deepseek-chat,40,female,True,5,4,4,4,5,female,5
female,1,1,1,no_wb,4,4,6,6,6,4,5,3,4,4,5,5,4,2,2,2,5,4,4,deepseek-chat,43,female,False,5,5,5,5,5,male,5
male,1,1,1,no_wb,4,2,3,3,3,4,3,4,3,4,4,3,4,5,5,5,3,4,4,deepseek-chat,48,female,False,3,2,2,2,3,male,3
male,1,1,1,no_wb,3,3,5,5,5,3,3,3,3,3,3,3,3,2,2,2,3,3,3,deepseek-chat,47,female,False,3,4,4,4,3,male,3
female,1,1,1,no_wb,2,2,5,5,5,3,2,3,3,3,3,2,3,2,2,2,2,3,1,deepseek-chat,56,female,False,2,2,2,2,2,female,2
male,1,1,1,no_wb,3,2,2,2,2,3,2,3,2,3,2,2,3,5,5,5,2,3,4,deepseek-chat,22,female,False,2,2,2,2,2,male,2
female,1,1,1,no_wb,4,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,4,deepseek-chat,21,female,False,3,2,2,2,3,male,3
female,1,1,1,no_wb,4,3,2,2,3,3,4,3,3,3,3,4,4,4,4,3,4,3,4,deepseek-chat,52,female,False,4,2,2,2,4,female,4
male,2,1,2,no_wb,4,2,2,2,2,4,2,4,4,4,3,2,4,5,5,5,2,4,4,deepseek-chat,19,female,False,2,2,2,2,2,female,2
female,1,1,2,no_wb,4,3,5,5,5,4,4,3,3,4,4,4,4,2,2,2,4,4,4,deepseek-chat,18,female,False,4,3,3,3,4,male,4
female,2,2,2,no_wb,4,3,5,5,5,4,5,3,4,4,4,4,4,2,3,2,5,4,3,deepseek-chat,26,female,False,5,4,4,4,4,female,4
female,1,1,1,no_wb,4,2,5,5,5,4,2,3,3,3,3,2,3,3,3,3,2,3,4,deepseek-chat,35,female,False,2,4,4,4,2,female,2
female,2,2,2,no_wb,4,4,5,5,5,4,5,3,4,3,4,5,4,3,4,3,5,4,3,deepseek-chat,38,female,False,5,4,4,4,5,female,5
male,2,2,3,no_wb,4,2,2,2,2,3,2,3,3,3,3,2,3,4,4,4,2,3,4,deepseek-chat,25,female,False,2,3,3,3,2,male,2
male,1,1,1,no_wb,4,4,5,5,5,4,5,3,4,3,4,5,3,2,2,2,5,4,4,deepseek-chat,29,female,False,5,4,4,4,5,female,5
female,1,1,1,no_wb,4,3,5,5,5,4,5,3,3,4,4,5,4,2,2,2,5,4,3,deepseek-chat,54,female,False,5,3,3,3,5,female,4
female,1,1,2,no_wb,4,3,5,5,5,3,4,3,3,3,4,4,3,2,3,2,4,3,4,deepseek-chat,39,male,True,4,4,4,4,4,female,4
female,1,1,1,no_wb,4,2,5,5,5,4,4,3,3,3,4,4,3,2,2,2,4,4,4,deepseek-chat,45,male,False,4,4,4,4,4,male,4
male,2,2,2,no_wb,4,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,4,deepseek-chat,46,female,False,3,2,2,2,3,male,3
female,1,1,1,no_wb,4,3,4,4,4,4,5,3,3,4,4,5,4,3,4,3,5,4,4,deepseek-chat,40,male,False,5,2,2,2,5,female,5
male,1,1,1,no_wb,3,4,5,5,5,4,4,3,3,3,4,4,3,2,3,2,4,4,3,deepseek-chat,40,female,False,4,4,4,4,4,female,4
female,1,1,1,no_wb,4,3,5,5,5,4,5,3,3,3,4,5,4,2,2,2,5,4,4,deepseek-chat,36,female,True,5,4,4,4,5,female,5
male,1,1,1,no_wb,4,4,4,4,5,4,5,3,4,4,5,5,4,3,3,3,5,4,4,deepseek-chat,42,female,False,5,2,2,2,5,male,5
female,1,1,1,no_wb,4,2,4,3,4,4,3,3,3,3,4,3,3,3,4,3,3,4,5,deepseek-chat,21,female,False,3,2,2,2,3,male,3
male,1,1,1,no_wb,4,2,5,5,5,4,3,3,3,4,4,3,3,2,2,2,3,4,3,deepseek-chat,18,female,False,3,4,4,4,3,male,3
male,1,1,1,no_wb,3,3,5,5,5,3,4,3,3,3,3,4,4,2,2,2,4,3,3,deepseek-chat,44,female,False,5,3,3,3,4,female,4
female,1,1,1,no_wb,3,2,4,4,4,3,3,3,3,3,3,3,3,2,2,2,3,3,4,deepseek-chat,41,female,False,3,3,3,3,3,female,3
male,1,1,1,no_wb,4,3,5,5,5,4,4,3,3,3,4,4,3,2,2,2,4,4,3,deepseek-chat,38,female,False,4,4,4,4,4,female,4
female,1,1,1,no_wb,3,3,5,5,5,4,5,3,4,4,4,5,4,2,3,2,5,4,3,deepseek-chat,53,female,False,5,4,4,4,5,male,5
female,2,1,2,no_wb,4,2,4,4,4,3,3,3,3,3,3,3,3,5,5,5,3,3,4,deepseek-chat,41,female,False,3,3,3,3,3,male,3
male,2,2,2,no_wb,4,3,4,4,4,4,4,3,4,4,4,4,4,3,3,3,4,4,3,deepseek-chat,40,male,True,4,4,4,4,4,male,4
female,1,1,1,no_wb,4,2,4,4,4,3,3,3,3,3,3,3,4,2,2,2,3,3,4,deepseek-chat,59,male,False,4,3,3,3,3,female,3
female,1,1,1,no_wb,4,4,5,5,5,4,5,3,4,4,4,5,4,3,3,3,5,4,3,deepseek-chat,27,female,True,5,4,4,4,5,male,5
male,1,1,1,no_wb,4,2,4,4,4,3,3,3,3,3,3,3,3,2,2,2,3,3,4,deepseek-chat,41,female,True,3,3,3,3,3,female,3
female,1,1,1,no_wb,3,3,5,5,5,3,4,3,3,3,3,4,3,3,3,2,4,3,4,deepseek-chat,55,female,False,4,4,4,4,4,male,4
male,1,1,1,no_wb,4,2,5,5,5,4,3,4,3,3,3,3,4,2,3,2,3,4,5,deepseek-chat,22,female,False,3,3,3,3,4,female,3
male,1,1,1,no_wb,3,2,4,4,4,3,3,3,3,3,3,3,3,2,2,2,3,3,3,deepseek-chat,39,female,False,4,3,3,3,3,female,3
male,1,1,1,no_wb,4,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,3,3,4,deepseek-chat,29,female,False,3,2,2,2,3,male,3
female,1,1,1,no_wb,4,3,5,5,5,4,5,3,4,4,4,5,4,2,2,2,5,4,4,deepseek-chat,36,male,False,5,4,4,4,5,male,5
female,1,2,2,no_wb,3,2,2,2,2,3,3,3,3,3,3,3,3,5,4,5,3,3,4,deepseek-chat,55,female,False,3,2,2,2,3,female,3
male,1,1,1,no_wb,4,3,3,3,3,4,3,4,3,4,4,4,4,4,4,4,3,4,4,deepseek-chat,45,male,False,3,2,3,2,4,male,4
male,2,2,2,no_wb,4,2,2,2,2,4,3,4,3,4,3,2,4,4,4,4,3,4,4,deepseek-chat,42,female,True,2,2,2,2,3,female,3
